종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"160550","NEW","KOSDAQ","오락·문화","7060","-360","-4.85","193487108360"
"053290","NE능률","KOSDAQ","출판·매체복제","3155","-75","-2.32","42585691510"
"104200","NHN벅스","KOSDAQ","디지털컨텐츠","8290","-10","-0.12","122920389500"
"060250","NHN한국사이버결제","KOSDAQ","소프트웨어","12950","-250","-1.89","279687534350"
"030190","NICE평가정보","KOSDAQ","기타서비스","10350","50","0.49","628398387000"
"024940","PN풍년","KOSDAQ","금속","2895","45","1.58","28950000000"
"218410","RFHIC","KOSDAQ","일반전기전자","27150","-700","-2.51","609407786850"
"091340","S&K폴리텍","KOSDAQ","IT부품","4640","195","4.39","54305265440"
"019550","SBI인베스트먼트","KOSDAQ","금융","999","-16","-1.58","161904508425"
"950110","SBI핀테크솔루션즈","KOSDAQ","출판·매체복제","8470","0","0.00","208840893800"
"046140","SBS콘텐츠허브","KOSDAQ","오락·문화","6180","60","0.98","132644769900"
"036120","SCI평가정보","KOSDAQ","기타서비스","3200","-45","-1.39","113600000000"
"099220","SDN","KOSDAQ","유통","1910","20","1.06","72116888030"
"036540","SFA반도체","KOSDAQ","반도체","1905","-35","-1.80","268836707055"
"255220","SG","KOSDAQ","비금속","12000","200","1.69","150072288000"
"040610","SG&G","KOSDAQ","운송장비·부품","2550","20","0.79","86922349800"
