종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"073560","우리손에프앤지","KOSDAQ","우량기업부","1565","65","4.33","1505","1565","1500","180523","277197915","108356911295","69237643"
"000030","우리은행","KOSPI",,"15750","350","2.27","15350","15800","15150","2235650","34827321100","10647000000000","676000000"
"153490","우리이앤엘","KOSDAQ","중견기업부","593","27","4.77","576","595","555","58847","33924294","29590700000","49900000"
"082850","우리이티아이","KOSDAQ","중견기업부","735","15","2.08","720","741","699","34603","24620006","30516186435","41518621"
"037400","우리조명","KOSDAQ","중견기업부","894","-6","-0.67","893","910","876","102429","91312628","22281471324","24923346"
"010050","우리종금","KOSPI",,"713","-2","-0.28","716","724","703","2983853","2128596997","480707028478","674203406"
"101170","우림기계","KOSDAQ","벤처기업부","3145","10","0.32","3110","3175","3090","48808","153150160","42457500000","13500000"
"006980","우성사료","KOSPI",,"2240","5","0.22","2260","2295","2210","174694","392228255","69216000000","30900000"
"066590","우수AMS","KOSDAQ","중견기업부","3635","40","1.11","3605","3700","3490","1049530","3789573815","89763791405","24694303"
"017370","우신시스템","KOSPI",,"6200","200","3.33","6100","6330","6100","7131","44610650","113547134800","18314054"
"046940","우원개발","KOSDAQ","중견기업부","3360","95","2.91","3270","3365","3205","121660","401087315","55102225920","16399472"
"215380","우정바이오","KOSDAQ","벤처기업부","1950","50","2.63","1880","1960","1865","183194","351459635","48963936450","25109711"
"065680","우주일렉트로","KOSDAQ","우량기업부","8060","90","1.13","7880","8060","7880","2902","23066140","80069813200","9934220"
"105840","우진","KOSPI",,"4365","10","0.23","4375","4485","4280","192769","839139710","75946473495","17398963"
"018620","우진비앤지","KOSDAQ","벤처기업부","2580","270","11.69","2315","2635","2315","143328","354629240","41839893540","16217013"
"010400","우진아이엔에스","KOSPI",,"10150","650","6.84","9750","10750","9700","331259","3370028400","77363300000","7622000"
"049800","우진플라임","KOSPI",,"5820","680","13.23","5100","5820","4960","917166","5010544660","58200000000","10000000"
"016880","웅진","KOSPI",,"2610","155","6.31","2455","2740","2430","7772066","20415446165","189687510270","72677207"
"095720","웅진씽크빅","KOSPI",,"4130","210","5.36","3960","4280","3930","430614","1767204785","142985411450","34621165"
"103130","웅진에너지","KOSPI",,"1730","45","2.67","1730","1770","1705","406537","703504130","51381756010","29700437"
"005820","원림","KOSPI",,"19000","-150","-0.78","19150","19150","18650","1104","20753650","41800000000","2200000"
"032940","원익","KOSDAQ","중견기업부","5180","-50","-0.96","5200","5270","5050","72006","369606260","92900357760","17934432"
"240810","원익IPS","KOSDAQ","우량기업부","19000","-600","-3.06","19600","19600","18850","492159","9387307700","784195284000","41273436"
"074600","원익QnC","KOSDAQ","우량기업부","12600","100","0.80","12600","12650","12200","85535","1068567450","331228800000","26288000"
"104830","원익머트리얼즈","KOSDAQ","우량기업부","28000","-700","-2.44","28600","28750","27250","61311","1703138300","353024000000","12608000"
"014190","원익큐브","KOSDAQ","중견기업부","2770","115","4.33","2680","2810","2625","679709","1857809365","98057739620","35399906"
"123100","원익테라세미콘","KOSDAQ","우량기업부","14700","-300","-2.00","15000","15050","14500","198139","2924386150","166166448000","11303840"
"030530","원익홀딩스","KOSDAQ","우량기업부","4000","-45","-1.11","4050","4050","3905","246745","979938940","308951924000","77237981"
"012620","원일특강","KOSDAQ","우량기업부","8300","40","0.48","8260","8370","8080","8108","66816050","36520000000","4400000"
"216280","원텍","KONEX","일반기업부","24950","1950","8.48","24950","24950","24950","1","24950","99550500000","3990000"
"008370","원풍","KOSDAQ","우량기업부","3300","100","3.13","3230","3380","3200","39775","129981675","39600000000","12000000"
"008290","원풍물산","KOSDAQ","중견기업부","3475","300","9.45","3205","3525","3135","815487","2755198285","133411438975","38391781"
"101160","월덱스","KOSDAQ","벤처기업부","4650","-20","-0.43","4750","4760","4420","51143","232095625","76776117450","16510993"
"095270","웨이브일렉트로","KOSDAQ","벤처기업부","20950","950","4.75","20100","21300","20100","15144","315684050","226136248350","10794093"
"010600","웰바이오텍","KOSPI",,"6710","-130","-1.90","6890","6890","6580","371728","2284237990","155439659540","23165374"
"065950","웰크론","KOSDAQ","벤처기업부","2905","70","2.47","2870","2970","2820","530830","1525660040","74049893785","25490497"
"114190","웰크론강원","KOSDAQ","중견기업부","3020","30","1.00","3000","3195","2990","161477","490271905","46064150600","15253030"
"076080","웰크론한텍","KOSDAQ","중견기업부","1775","50","2.90","1765","1790","1700","137822","241254025","34368567075","19362573"
"196700","웹스","KOSDAQ","벤처기업부","1900","35","1.88","1825","1960","1790","178459","333918795","26027104400","13698476"
"069080","웹젠","KOSDAQ","우량기업부","14850","400","2.77","14600","15000","14250","181633","2663328500","524366627400","35310884"
"044340","위닉스","KOSDAQ","중견기업부","13200","750","6.02","12700","13250","12400","170552","2193119600","235929210000","17873425"
"112040","위메이드","KOSDAQ","중견기업부","23600","2250","10.54","21350","24150","20800","160568","3630666200","396480000000","16800000"
"065370","위세아이텍","KONEX","일반기업부","4880","-15","-0.31","4895","4895","4520","723","3442980","16592000000","3400000"
"140660","위월드","KONEX","일반기업부","3000","0","0.00","2910","3000","2910","401","1167000","7461756000","2487252"
"038620","위즈코프","KOSDAQ","벤처기업부","995","49","5.18","947","1010","933","453782","441301539","36971286640","37157072"
"036090","위지트","KOSDAQ","중견기업부","975","39","4.17","938","986","934","638101","615354403","70930580175","72749313"
"136540","윈스","KOSDAQ","우량기업부","11150","350","3.24","11000","11250","10650","33081","362839850","134781902450","12088063"
"097800","윈팩","KOSDAQ","중견기업부","1360","120","9.68","1305","1370","1245","417733","547712055","46364056480","34091218"
"192390","윈하이텍","KOSDAQ","중견기업부","3700","25","0.68","3650","3735","3600","42919","156751750","36493429300","9863089"
"008600","윌비스","KOSPI",,"1075","50","4.88","1030","1100","1010","453492","481364885","61275000000","57000000"
"033270","유나이티드제약","KOSPI",,"22350","400","1.82","22050","22450","21450","51085","1127155350","362233646700","16207322"
"014830","유니드","KOSPI",,"40250","650","1.64","39400","40700","38900","12629","502337100","357816180750","8889843"
"036200","유니셈","KOSDAQ","우량기업부","3740","200","5.65","3600","3770","3510","545842","2002973080","114684194020","30664223"
"018000","유니슨","KOSDAQ","중견기업부","1945","20","1.04","2050","2090","1925","4826479","9677307655","182053178670","93600606"
"000910","유니온","KOSPI",,"3805","65","1.74","3745","3900","3635","872767","3283300130","59402210295","15611619"
"047400","유니온머티리얼","KOSPI",,"1775","-100","-5.33","1880","1990","1695","3484134","6212520970","74550000000","42000000"
"203450","유니온커뮤니티","KOSDAQ","벤처기업부","2350","50","2.17","2300","2410","2250","164609","383019880","34495666450","14679007"
"011330","유니켐","KOSPI",,"1415","25","1.80","1425","1430","1365","495171","691737365","83571179160","59060904"
