,기업코드,ESG등급,환경,사회,지배구조,평가년도,업종명
SG세계물산,4060,D,D,D,D,2022,유통업
SHD,1770,D,D,D,C,2022,철강금속
SH에너지화학,2360,C,C,D,B+,2022,화학
SIMPAC,9160,D,D,C,D,2022,기계
SK,34730,A+,A,A,A+,2022,기타금융
SKC,11790,A,B+,A+,A,2022,화학
SK가스,18670,A,A,A+,A,2022,유통업
SK네트웍스,1740,A,A,A+,B+,2022,유통업
SK디스커버리,6120,A,A,A+,B+,2022,기타금융
SK디앤디,210980,A,A,A,A,2022,서비스업
SK렌터카,68400,B+,A,A,B+,2022,서비스업
SK바이오사이언스,302440,A,A,A+,A,2022,의약품
SK바이오팜,326030,A,B+,A,A,2022,서비스업
SK이노베이션,96770,A,B+,A+,A+,2022,화학
SK증권,1510,B+,C,B+,B+,2022,증권
SK케미칼,285130,A+,A+,A+,A,2022,화학
SK텔레콤,17670,A,A+,A+,A,2022,통신업
SK하이닉스,660,B+,B+,A,B+,2022,전기전자
SNT모티브,64960,C,C,D,B,2022,운수장비
SNT에너지,100840,C,D,C,C,2022,기계
SNT중공업,3570,C,C,C,B,2022,운수장비
SNT홀딩스,36530,C,C,C,B,2022,기타금융
SPC삼립,5610,B,C,B+,B,2022,음식료품
STX,11810,C,D,C,C,2022,유통업
STX엔진,77970,C,D,B,D,2022,기계
STX중공업,71970,C,D,B,B,2022,기계
SUN&L,2820,C,D,C,B,2022,종이목재
TCC스틸,2710,C,C,C,C,2022,철강금속
TYM,2900,B+,B,B+,B+,2022,기계
WISCOM,24070,C,D,D,B,2022,화학
YG PLUS,37270,D,D,D,D,2022,서비스업
가온전선,500,B,C,B+,B+,2022,전기전자
강남제비스코,860,C,C,B,B,2022,화학
강원랜드,35250,A,B+,A+,A,2022,서비스업
갤럭시아에스엠,11420,D,D,D,D,2022,서비스업
경농,2100,C,C,D,B,2022,화학
경동나비엔,9450,C,C,B,D,2022,전기전자
경동도시가스,267290,B,C,B+,B,2022,전기가스업
경동인베스트,12320,C,C,B+,C,2022,기타금융
경방,50,D,C,D,D,2022,유통업
경보제약,214390,B+,B,A,B+,2022,의약품
경인양행,12610,C,B,B+,D,2022,화학
경인전자,9140,D,D,D,D,2022,전기전자
계양전기,12200,C,C,B,D,2022,기계
고려산업,2140,D,D,D,D,2022,음식료품
고려아연,10130,B,B+,A,C,2022,철강금속
고려제강,2240,D,C,C,D,2022,철강금속
고영,98460,B,C,B+,B,2022,기계·장비
골프존,215000,B+,B+,A,B,2022,소프트웨어
광동제약,9290,C,D,B,B,2022,의약품
광명전기,17040,D,D,C,D,2022,전기전자
광전자,17900,D,D,D,C,2022,전기전자
광주신세계,37710,B+,B+,A,B+,2022,유통업
교보증권,30610,B+,B+,B+,B+,2022,증권
교촌에프앤비,339770,C,D,C,B,2022,유통업
국도화학,7690,D,C,D,D,2022,화학
국동,5320,D,D,C,D,2022,유통업
국보,1140,D,D,D,D,2022,운수창고업
국일제지,78130,C,C,C,B,2022,종이·목재
국제약품,2720,C,D,C,B,2022,의약품
그린케미칼,83420,D,D,D,D,2022,화학
극동유화,14530,D,D,C,D,2022,화학
금강공업,14280,C,D,D,B,2022,철강금속
금비,8870,D,D,D,D,2022,비금속광물
