회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS연결)(천원),PBR(최고)(IFRS),PBR(최저)(IFRS),매출액(영업수익)(*)(연결)(천원),배당성향(IFRS연결)
(주)한익스프레스,014130,2021/12,374774840,409.79,19.62,26.17,17063802,1.64,1.03,776251564,
(주)한진,002320,2021/12,3877620716,182.22,35.43,13.02,196051346,0.58,0.31,2504131194,
(주)한진중공업홀딩스,003480,2021/12,1837801000,427.19,18.97,11.67,107764000,0.74,0.35,888034000,
(주)한진칼,180640,2021/12,3754742183,105.83,48.58,-3.31,-46269187,2.75,1.69,395278013,
(주)한창,005110,2021/12,134278398,262.9,27.56,-1.69,-3530202,7.47,3.69,35217987,
(주)한창제지,009460,2021/12,,,,,,1.78,1.05,,
(주)한컴라이프케어,372910,2021/12,214127312,83.3,54.56,-20.22,28051376,0.06,0.03,121140357,
(주)한화,000880,2021/12,202366402000,861.49,10.4,3.75,7228121000,1.07,0.79,52836069000,
(주)현대리바트,079430,2021/12,863648499,76.59,56.63,1.59,-20374864,0.93,0.58,1406599312,
(주)현대미포조선,010620,2021/12,3878320283,75.94,56.84,3.41,69619246,1.8,0.77,2887212251,
(주)현대백화점,069960,2021/12,8969196456,71.64,58.26,57.16,500164435,0.58,0.4,3572433182,
(주)현대지에프홀딩스,005440,2021/12,3109986792,40.69,71.08,7.65,15377286,0.82,0.53,3486080421,
(주)현대퓨처넷,126560,2021/12,1034025994,20.56,82.95,-55.62,81680447,0.86,0.5,136700719,
(주)현대홈쇼핑,057050,2021/12,2600338276,38.14,72.39,3.26,89912081,0.78,0.49,2209872708,
(주)혜인,003010,2021/12,194738254,90.95,52.37,-5.14,,1.05,0.59,206355705,
(주)호텔신라,008770,2021/12,2656449912,360.47,21.72,18.54,42341284,7.58,5.15,3779129066,
(주)화승알앤에이,378850,2021/12,402076179,,,,28361004,,,505757693,
(주)화승엔터프라이즈,241590,2021/12,1330258311,141.68,41.38,0,-8336353,3.8,2.1,1138575158,
(주)화승인더스트리,006060,2021/12,1637051105,157.93,38.77,0,9903813,3.38,1.84,1365517618,
(주)화승코퍼레이션,013520,2021/12,1155191960,485.12,17.09,6.59,-11723256,1.52,0.63,1399821014,
(주)화신,010690,2021/12,870753098,201.88,33.13,13.91,37951571,1.23,0.37,1236592388,
(주)화인베스틸,133820,2021/12,,,,,,1.37,0.86,,
(주)황금에스티,032560,2021/12,431568370,29.79,77.05,13.17,70118477,0.86,0.51,270982293,
(주)효성,004800,2021/12,5257873534,75.71,56.91,0,-71291486,1.09,0.62,3538942985,
(주)후성,093370,2021/12,616334424,117.43,45.99,45.74,83446716,8.98,3.04,381256775,
(주)휠라홀딩스,081660,2021/12,4288856815,85.95,53.78,21.26,524557784,8.5,4.72,3793958640,
(주)휴니드테크놀러지스,005870,2021/12,,,,,,1.14,0.61,,
(주)휴비스,079980,2021/12,843415197,80.28,55.47,0,-14448756,1.15,0.65,1082571527,
(주)휴스틸,005010,2021/12,951920862,51.97,65.8,68.62,2864027,0.28,0.09,616505522,
AJ네트웍스(주),095570,2021/12,1355044450,273.79,26.75,0.95,-11318072,0.96,0.5,1026749457,
CS홀딩스(주),000590,2021/12,353716996,13.3,88.26,20.8,8113505,0.69,0.39,159017955,
DB금융투자(주),016610,2021/12,,,,,-197242734,,,1410732861,
DB손해보험(주),005830,2021/12,,,,,2276255431,,,20880588629,
HD현대(주),267250,2021/12,35815655908,201.29,33.19,48.9,4294362,4.43,0.76,28158746399,
KG스틸(주),016380,2021/12,2771098268,140.93,41.51,0,-47200511,2.27,0.86,3354789186,
KISCO홀딩스(주),001940,2021/12,1688093089,18.82,84.16,48.5,133232338,0.8,0.47,1580849339,
LG이노텍(주),011070,2021/12,7741352841,133.58,42.81,56.63,1177629169,3.37,1.62,14945609219,
LS일렉트릭(주),010120,2021/12,2796731558,89.81,52.68,11.05,101544478,1.83,1.2,2668264980,
