,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,배당률,ESG,E,S,G,평가연도,업종명,현금흐름(CF),PBR
현대홈쇼핑,1902995406000.0,30.76,76.47,8.2,29.49,B+,A,B이하,B이하,2016,유통업,0.09570492105391676,1.15
혜인,234552458000.0,156.88,38.93,-20.92,7.09,B이하,B,B이하,B이하,2016,유통업,0.01034387552681168,0.54
호텔신라,2040955003000.0,208.52,32.41,14.26,6.64,B이하,B,B이하,B이하,2016,유통업,0.03252018972126585,3.525
화성산업,504055705000.0,61.27,62.01,2.96,13.23,B이하,B+,B이하,B이하,2016,건설업,0.07592401739809534,0.515
화신,964142090000.0,144.8,40.85,-0.16,19.89,B이하,C,B이하,B이하,2016,운수장비,0.04606471948536759,0.615
화인베스틸,226509854000.0,122.77,44.89,-23.65,0.0,B이하,B,B이하,B+,2016,철강금속,0.06987136941788019,0.8599999999999999
화천기계,161556567000.0,31.58,76.0,-15.72,0.0,B이하,B,B이하,B이하,2016,기계,0.13131659739376514,0.43
화천기공,346272696000.0,27.58,78.38,-12.31,25.0,B이하,B,B이하,B이하,2016,기계,0.10540785763494495,0.475
환인제약,243441128000.0,10.59,90.42,-2.77,39.35,B이하,B+,B이하,B이하,2016,의약품,0.1402218542019555,1.5150000000000001
황금에스티,371879221000.0,66.33,60.12,30.3,15.0,B이하,B,B이하,B이하,2016,철강금속,0.18894509367534354,0.625
효성,14120801415000.0,267.61,27.2,-4.25,94.74,B이하,D,B+,A,2016,화학,0.1519759955377846,1.435
후성,315083346000.0,92.85,51.85,-10.76,0.0,B이하,B,B이하,B+,2016,화학,0.18190446565866514,3.6950000000000003
휴비스,914125281000.0,129.77,43.52,-5.11,5.72,B+,B,B+,B+,2016,화학,0.04531841782876524,0.7949999999999999
휴스틸,586849321000.0,52.07,65.76,-16.98,8.0,B이하,B,B이하,B+,2016,철강금속,-0.06321703890445432,0.28
흥아해운,958532259000.0,397.97,20.08,-1.58,0.99,B이하,C,B이하,B이하,2016,운수창고업,-0.0016707298438115514,1.05
