종목명,ESG 통합등급,2016_E,2016_S,2016_G,평가연도,업종명
지투알,B이하,B+,B이하,B이하,2016,서비스업
진도,B이하,C,B이하,B이하,2016,유통업
진양산업,B이하,B,B이하,B이하,2016,화학
진양홀딩스,B이하,B,B이하,B이하,2016,서비스업
진양화학,B이하,B,B이하,B이하,2016,화학
진원생명과학,B이하,D,B이하,B이하,2016,유통업
진흥기업,B이하,B,B이하,B+,2016,건설업
참엔지니어링,B이하,D,B이하,B이하,2016,기계
천일고속,B이하,B,B이하,B이하,2016,운수창고업
청호컴넷,B이하,C,B이하,B이하,2016,기계
체시스,B이하,C,B이하,B이하,2016,운수장비
카프로,B이하,B,B이하,B+,2016,화학
케이티스,B이하,B+,B+,B이하,2016,서비스업
코리아써키트,B이하,C,B이하,B+,2016,전기전자
코리안리,B이하,A+,B이하,B이하,2016,보험
코스맥스,B이하,B,B이하,B이하,2016,화학
코스맥스비티아이,B이하,B,B이하,B이하,2016,서비스업
코스모신소재,B이하,C,B이하,B+,2016,화학
코스모화학,B이하,B,B이하,B+,2016,화학
코아스,B이하,B,B이하,B이하,2016,기타제조업
코오롱,B이하,C,B이하,B이하,2016,서비스업
코오롱글로벌,B+,B+,B+,B이하,2016,건설업
코오롱머티리얼,B이하,C,B이하,B이하,2016,화학
코오롱인더,B이하,B,B이하,B+,2016,화학
코오롱플라스틱,B+,B,B이하,A,2016,화학
코웨이,A,B,A+,A,2016,서비스업
콤텍시스템,B이하,B,B이하,B이하,2016,서비스업
키움증권,B+,A,B+,B이하,2016,증권
키위미디어그룹,B이하,D,B이하,B이하,2016,유통업
태경산업,B이하,C,B이하,B이하,2016,화학
태경화학,B이하,D,B이하,B이하,2016,화학
태광산업,B이하,C,B+,B이하,2016,화학
태림포장,B이하,C,B이하,B이하,2016,종이목재
태영건설,B+,B+,B+,B이하,2016,건설업
태원물산,B이하,B,B이하,B이하,2016,운수장비
태평양물산,B이하,B,B+,B이하,2016,섬유의복
텔코웨어,B이하,C,B이하,B이하,2016,서비스업
티에이치엔,B이하,C,B이하,B이하,2016,전기전자
티웨이홀딩스,B이하,C,B이하,B이하,2016,비금속광물
팀스,B이하,B,B이하,B이하,2016,기타제조업
파미셀,B이하,C,B이하,B이하,2016,의약품
팜스코,B이하,B,B이하,B이하,2016,음식료품
팬오션,B이하,B,B이하,B이하,2016,운수창고업
퍼스텍,B이하,B,B이하,B이하,2016,기계
퍼시스,B이하,B,B이하,B이하,2016,기타제조업
페이퍼코리아,B이하,C,B이하,B이하,2016,종이목재
평화산업,B+,B+,B+,B이하,2016,운수장비
평화홀딩스,B이하,B,B+,B이하,2016,서비스업
포스코강판,B+,B+,B+,B+,2016,철강금속
포스코대우,B이하,B+,B+,B이하,2016,유통업
풀무원,A,A,A+,A,2016,서비스업
풍산,B+,B,B이하,A,2016,철강금속
풍산홀딩스,B이하,B,B이하,B이하,2016,서비스업
필룩스,B이하,B,B이하,B이하,2016,전기전자
하나금융지주,A,A+,A,B이하,2016,기타금융
하나투어,B이하,C,B이하,B이하,2016,서비스업
하이스틸,B이하,B,B이하,B이하,2016,철강금속
하이트진로,B이하,C,B이하,B+,2016,음식료품
하이트진로홀딩스,B이하,B+,B이하,B이하,2016,서비스업
한국가스공사,B+,B+,B이하,A,2016,전기가스업
한국공항,B이하,C,B이하,B이하,2016,운수창고업
한국금융지주,B이하,A+,B이하,B이하,2016,기타금융
한국내화,B이하,C,B이하,B이하,2016,비금속광물
한국쉘석유,B이하,B+,B이하,B이하,2016,화학
한국전자홀딩스,B이하,B,B이하,B이하,2016,서비스업
한국제지,B이하,B,B이하,B+,2016,종이목재
한국종합기술,B이하,B+,B이하,B이하,2016,서비스업
한국주강,B이하,C,B이하,B이하,2016,기계
한국철강,B이하,C,B+,B+,2016,철강금속
한국카본,B이하,C,B이하,B이하,2016,기계
한국콜마,B이하,C,B이하,B이하,2016,화학
한국콜마홀딩스,B이하,B,B이하,B이하,2016,서비스업
한국타이어,A,B+,A+,A+,2016,화학
한국타이어월드와이드,A,A,A+,B+,2016,서비스업
한국특수형강,B이하,C,B이하,B이하,2016,철강금속
한국항공우주,B이하,B,B이하,B+,2016,운수장비
