기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도
미래산업,025560,D,D,D,D,2022
미래아이앤지,007120,D,D,D,D,2022
미래에셋생명,085620,B+,B,A,B+,2022
미래에셋증권,006800,A,A,A+,B+,2022
미래에셋캐피탈,840265,-,-,-,B+,2022
미원상사,002840,C,C,D,C,2022
미원에스씨,268280,C,C,C,B,2022
미원홀딩스,107590,C,C,C,B,2022
미원화학,134380,C,C,D,C,2022
미창석유공업,003650,C,D,D,B,2022
바이넥스,053030,D,D,D,D,2022
바이오니아,064550,D,D,D,D,2022
바텍,043150,D,D,D,D,2022
박셀바이오,323990,D,D,D,C,2022
방림,003610,D,D,D,C,2022
백광산업,001340,D,C,D,D,2022
백산,035150,D,D,D,D,2022
범양건영,002410,D,D,C,D,2022
벽산,007210,D,C,C,D,2022
보락,002760,D,D,D,D,2022
보령,003850,B+,B+,A,B,2022
보해양조,000890,D,D,D,C,2022
부광약품,003000,C,D,D,B,2022
부국증권,001270,C,D,C,B,2022
부국철강,026940,D,D,D,D,2022
부산산업,011390,C,D,D,B,2022
부산은행,005280,-,-,-,B+,2022
부산주공,005030,D,D,D,D,2022
비덴트,121800,D,D,D,D,2022
비비안,002070,D,D,D,D,2022
비상교육,100220,B,D,B,B,2022
비에이치,090460,C,C,B+,C,2022
비케이탑스,030790,D,D,D,D,2022
빙그레,005180,A,A,A,B+,2022
사람인에이치알,143240,C,D,C,B,2022
사조대림,003960,C,B,B,D,2022
사조동아원,008040,C,C,B+,C,2022
사조산업,007160,C,C,B,D,2022
사조씨푸드,014710,C,D,B,B,2022
사조오양,006090,C,C,B,D,2022
산은캐피탈,008270,-,-,-,B,2022
삼강엠앤티,100090,D,C,C,D,2022
삼부토건,001470,D,D,D,C,2022
삼성SDI,006400,A,A,A+,B+,2022
삼성공조,006660,C,D,C,B,2022
삼성물산,028260,A,A,A,A,2022
삼성바이오로직스,207940,A,A,A+,A,2022
삼성생명,032830,A,A,A+,B+,2022
삼성에스디에스,018260,A,A,A+,A,2022
삼성엔지니어링,028050,A,A,A+,B+,2022
삼성전기,009150,A,A,A+,A,2022
삼성전자,005930,A,A,A+,B+,2022
삼성제약,001360,D,D,D,D,2022
삼성중공업,010140,B+,B+,B+,B+,2022
삼성증권,016360,A,A,A+,B+,2022
삼성출판사,068290,C,D,D,B+,2022
삼성카드,029780,A,A,A+,A,2022
삼성화재해상보험,000810,A,A,A,A,2022
삼아알미늄,006110,C,D,D,B,2022
삼양사,145990,B+,B+,A,B,2022
삼양식품,003230,B+,A,A+,B,2022
삼양통상,002170,C,D,D,B,2022
삼양패키징,272550,B,C,B+,B,2022
삼양홀딩스,000070,B+,B+,A,B,2022
삼영무역,002810,B,D,C,B+,2022
삼영전자공업,005680,C,C,D,C,2022
삼영화학공업,003720,C,C,D,C,2022
삼원강재,023000,C,C,D,C,2022
삼익THK,004380,C,C,C,C,2022
삼익악기,002450,D,C,D,D,2022
삼일씨엔에스,004440,D,D,D,D,2022
삼일제약,000520,D,D,D,C,2022
삼정펄프,009770,D,D,C,D,2022
삼진제약,005500,D,D,D,D,2022
삼천당제약,000250,D,D,D,C,2022
삼천리,004690,C,C,B+,C,2022
삼표시멘트,038500,C,B,B,C,2022
삼호개발,010960,B,C,B+,B,2022
삼화왕관,004450,D,D,D,D,2022
삼화전기,009470,D,D,D,D,2022
삼화전자공업,011230,D,D,D,D,2022
삼화콘덴서공업,001820,D,D,C,D,2022
삼화페인트공업,000390,B,C,B+,B+,2022
상상인,038540,D,D,D,D,2022
상상인증권,001290,D,D,C,D,2022
상신브레이크,041650,D,D,C,C,2022
상아프론테크,089980,C,C,B+,C,2022
새론오토모티브,075180,D,D,C,C,2022
샘표,007540,C,D,C,C,2022
샘표식품,248170,C,D,C,C,2022
서부T&D,006730,D,D,D,C,2022
서연,007860,B+,B,A,B,2022
서연이화,200880,B+,B,A,B+,2022
서울도시가스,017390,C,D,B,C,2022
서울바이오시스,092190,D,D,C,C,2022
서울반도체,046890,B,D,B+,B+,2022
서울보증보험,813002,-,-,-,B,2022
서울식품공업,004410,D,D,D,D,2022
서원,021050,C,C,D,C,2022
서진시스템,178320,D,D,D,D,2022
서흥,008490,B,C,B,B+,2022
선도전기,007610,D,D,D,D,2022
선진,136490,C,C,B+,C,2022
성문전자,014910,D,D,C,D,2022
성보화학,003080,D,D,C,C,2022
성신양회,004980,C,C,B,C,2022
성안,011300,C,D,D,B,2022
성우하이텍,015750,D,D,C,D,2022
성창기업지주,000180,D,D,D,D,2022
세기상사,002420,D,D,D,D,2022
세방,004360,C,C,C,B,2022
세방전지,004490,C,B,C,C,2022
세아베스틸지주,001430,C,C,B,B,2022
세아제강,306200,B+,B,B+,B+,2022
세아제강지주,003030,B,B,B+,B,2022
세아특수강,019440,B+,C,B+,A,2022
세아홀딩스,058650,C,C,B+,C,2022
세우글로벌,013000,D,D,D,D,2022
세원이앤씨,091090,D,D,C,D,2022
세원정공,021820,D,D,C,D,2022
세이브존I&C,067830,C,D,C,C,2022
세종공업,033530,C,D,B,D,2022
세진중공업,075580,D,D,D,C,2022
세하,027970,D,D,C,D,2022
센트랄모텍,308170,B,D,B,B+,2022
센트럴인사이트,012600,D,D,D,D,2022
셀리드,299660,D,D,D,D,2022
셀리버리,268600,C,D,D,B,2022
셀트리온,068270,B,C,B+,B,2022
셀트리온제약,068760,D,D,C,D,2022
셀트리온헬스케어,091990,B,D,B,B,2022
솔루스첨단소재,336370,C,D,C,B,2022
솔브레인,357780,C,C,B+,C,2022
솔브레인홀딩스,036830,C,C,B+,C,2022
송원산업,004430,D,C,C,D,2022
수산중공업,017550,D,D,D,C,2022
스튜디오드래곤,253450,C,C,B,C,2022
시그네틱스,033170,D,C,D,D,2022
시디즈,134790,C,D,C,C,2022
신대양제지,016590,D,D,C,D,2022
신도리코,029530,C,C,D,B+,2022
신라교역,004970,D,D,D,C,2022
신성이엔지,011930,D,D,C,C,2022
신성통상,005390,D,D,D,D,2022
신세계,004170,A,A,A+,B+,2022
신세계I&C,035510,B+,B+,A,B+,2022
신세계건설,034300,B+,B,A,B+,2022
신세계인터내셔날,031430,B+,C,B+,B+,2022
신세계푸드,031440,B,C,B+,B+,2022
신송홀딩스,006880,D,D,D,C,2022
신영와코루,005800,D,D,D,D,2022
신영증권,001720,B+,C,B+,B+,2022
신원,009270,D,D,C,C,2022
신일전자,002700,D,D,D,D,2022
신풍제약,019170,D,D,C,D,2022
신풍제지,002870,D,D,D,C,2022
신한라이프생명보험,828992,-,-,-,A,2022
신한은행,000010,-,-,-,B+,2022
신한지주,055550,A+,A+,A+,A+,2022
신한카드,032710,-,-,-,A,2022
신한캐피탈,811323,-,-,-,B+,2022
신한투자증권,008670,-,-,-,A,2022
신화인터텍,056700,D,D,D,C,2022
신흥,004080,D,D,C,D,2022
심텍,222800,C,C,B,D,2022
쌍방울,102280,D,D,C,D,2022
쌍용씨앤이,003410,B+,B+,B,B+,2022
써니전자,004770,D,D,D,C,2022
쎌마테라퓨틱스,015540,D,D,D,D,2022
씨아이에스,222080,D,D,D,C,2022
씨아이테크,004920,D,D,D,D,2022
씨에스윈드,112610,C,C,B,C,2022
씨젠,096530,C,B,B+,D,2022
아난티,025980,C,C,B,D,2022
아남전자,008700,D,D,C,D,2022
아모레퍼시픽,090430,A,A,A+,A,2022
아모레퍼시픽그룹,002790,A,A,A+,B+,2022
아미코젠,092040,C,C,B+,C,2022
아세아,002030,B+,B,B+,B+,2022
아세아시멘트,183190,C,B,B+,C,2022
아세아제지,002310,C,C,B+,D,2022
아센디오,012170,D,D,D,D,2022
아시아나IDT,267850,C,D,C,C,2022
아시아나항공,020560,B,B+,A,C,2022
아이마켓코리아,122900,C,D,B+,C,2022
아이비케이연금보험,829322,-,-,-,B,2022
아이비케이캐피탈,828519,-,-,-,B+,2022
아이에스동서,010780,B+,B,A,B+,2022
아이에이치큐,003560,D,D,D,D,2022
아이티엠반도체,084850,B,C,B+,B,2022
아주IB투자,027360,B,C,B+,B,2022
아프리카TV,067160,C,C,B+,D,2022
안랩,053800,B+,B+,A,B+,2022
알루코,001780,D,D,C,D,2022
알서포트,131370,D,D,C,D,2022
알테오젠,196170,C,D,C,B+,2022
압타바이오,293780,D,D,D,C,2022
애경산업,018250,A,B+,A+,B+,2022
애경케미칼,161000,B+,B+,A,B+,2022
에넥스,011090,C,D,C,C,2022
에스앤에스텍,101490,C,D,D,B,2022
에스에프에이,056190,C,D,C,B,2022
에스엘,005850,B+,B,B+,B+,2022
에스엠,041510,C,D,B,D,2022
에스엠벡셀,010580,D,D,D,D,2022
에스엠코어,007820,C,D,D,B,2022
에스원,012750,B+,B+,A,B,2022
에스제이엠,123700,D,D,C,C,2022
에스제이엠홀딩스,025530,C,D,C,C,2022
에스티팜,237690,B+,B,B+,A,2022
에쓰씨엔지니어링,023960,D,D,D,D,2022
에어부산,298690,D,C,C,D,2022
에이블씨엔씨,078520,B,D,B,B,2022
에이비엘바이오,298380,C,D,D,B+,2022
에이비엘생명보험,804337,-,-,-,B+,2022
에이스침대,003800,C,D,C,B,2022
에이스테크,088800,D,D,C,C,2022
에이아이에이생명보험,801688,-,-,-,B,2022
에이엔피,015260,D,D,D,D,2022
에이프로젠 MED,007460,D,D,D,D,2022
에이프로젠제약,003060,D,D,D,D,2022
에이플러스에셋,244920,D,D,D,C,2022
에이피티씨,089970,C,D,D,B+,2022
에코마케팅,230360,C,D,D,B,2022
에코프로,086520,C,C,B,D,2022
에코프로비엠,247540,B,C,B+,B,2022
에프에스티,036810,D,D,D,D,2022
엑세스바이오,950130,D,D,D,D,2022
엔씨소프트,036570,A,B+,A,A,2022
엔에이치농협캐피탈,806955,-,-,-,A,2022
엔에이치엔,181710,A,B+,A,A,2022
엔지켐생명과학,183490,D,D,D,D,2022
엔케이,085310,D,D,D,D,2022
엔피씨,004250,D,D,C,D,2022
엘브이엠씨,900140,D,D,D,C,2022
엘비세미콘,061970,D,C,C,D,2022
엘앤씨바이오,290650,C,D,D,B+,2022
엘앤에프,066970,C,D,B,C,2022
엘에스일렉트릭,010120,A,B+,A,A,2022
