회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(영업수익)(*),[공통]평균배당률(IFRS)
(주)모나리자,012690,2021/12,93955501,24.89,80.07,-9.16,10925776,2.84,1.7,106399396,0
(주)모나미,005360,2021/12,155140257,89.6,52.74,4.62,202864,1.72,0.95,97394976,10
(주)모토닉,009680,2021/12,450511036,6.92,93.53,9.82,22743996,1.25,0.76,196083916,52.97
(주)무학,033920,2021/12,637795276,29.22,77.39,-10.39,47018358,0.83,0.39,121875341,106.88
(주)미래아이앤지,007120,2021/12,99668333,40.22,71.32,35.26,2019891,1.4,0.7,7807922,0
(주)방림,003610,2021/09,236351098,18.76,84.21,9.11,20162589,0.68,0.36,87229955,8.23
(주)백산,035150,2021/12,255196526,66.29,60.14,-0.13,22717744,2.01,0.88,204459409,17.29
(주)벽산,007210,2021/12,384957990,78.91,55.89,9.71,6876716,1.74,0.74,294733475,1.65
(주)보락,002760,2021/12,56317969,23.66,80.87,3.84,1177597,3.88,2.47,39763913,2.5
(주)보령,003850,2021/12,808103829,75.06,57.12,9.78,71459765,5.37,2.42,594412562,19.18
(주)비비안,002070,2021/12,191314974,89.98,52.64,2.51,-1267810,1.9,0.82,169828649,0
(주)비상교육,100220,2021/12,277125936,25.68,79.57,17.47,30967212,1.08,0.41,167741565,41.48
(주)비와이씨,001460,2021/12,672836981,41,70.92,1.48,34043648,0.96,0.5,163289151,30.06
(주)비지에프,027410,2021/12,1556972755,3.57,96.55,-18.02,20221999,0.52,0.3,42326740,11
(주)비지에프리테일,282330,2021/12,2522959711,222.57,31,9.64,525360402,4.77,3.25,6762088873,299.85
(주)빙그레,005180,2021/12,726485691,28.52,77.81,8.43,46494317,1.2,0.9,984002599,24.88
(주)사조대림,003960,2021/12,681576251,79.12,55.83,7.35,29757576,0.86,0.38,1165975664,4.81
(주)사조오양,006090,2021/12,315948483,60.62,62.26,0.38,20241471,0.66,0.42,328881779,4
(주)삼성출판사,068290,2021/12,210488928,22.98,81.32,-0.95,5848721,3.5,1.32,56221694,40
(주)삼양사,145990,2021/12,2188296389,85.62,53.87,17.03,-62218619,0.75,0.51,1784425396,23.52
(주)삼양패키징,272550,2021/12,612486514,90.66,52.45,6.63,56247247,1.64,0.95,391946196,20
(주)삼양홀딩스,000070,2021/12,2090165036,20.29,83.13,208.52,21196409,0.77,0.38,352144783,52.4
(주)삼영,003720,2021/12,80976263,66.15,60.18,11.19,7471485,3.32,1.71,107925547,0
