,업종명,종목명,2012_E,2012_S,2012_G,2013_E,2013_S,2013_G,Diff_E,Diff_S,Diff_G,2012_종가,2013_종가,등락률,연도
165,운수 및 창고업,아시아나항공,3.0,4.0,5.0,4.0,4.0,5.0,1.0,0.0,0.0,6300,5040,-0.2,"12,13년"
166,운수 및 창고업,아이마켓코리아,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,25900,25250,-0.025096525096525,"12,13년"
167,운수 및 창고업,아티스,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,1245,1075,-0.1365461847389558,"12,13년"
168,운수 및 창고업,영원무역,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,33800,35900,0.0621301775147929,"12,13년"
169,운수 및 창고업,와이비로드,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,1435,1725,0.2020905923344947,"12,13년"
170,운수 및 창고업,윌비스,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,2915,1080,-0.6295025728987993,"12,13년"
171,운수 및 창고업,유니퀘스트,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,6580,13600,1.0668693009118542,"12,13년"
172,운수 및 창고업,이마트,4.0,4.0,2.5,4.0,4.0,4.0,0.0,0.0,1.5,236500,254000,0.0739957716701902,"12,13년"
173,운수 및 창고업,이화산업,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,7510,7970,0.0612516644474034,"12,13년"
174,운수 및 창고업,진도,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,4380,4400,0.0045662100456621,"12,13년"
175,운수 및 창고업,천일고속,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,29900,34100,0.1404682274247491,"12,13년"
176,운수 및 창고업,한국공항,2.0,2.5,2.5,2.0,4.0,2.5,0.0,1.5,0.0,28500,21700,-0.2385964912280701,"12,13년"
177,운수 및 창고업,한국화장품,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,2970,1770,-0.404040404040404,"12,13년"
178,운수 및 창고업,한샘,3.0,2.5,2.5,4.0,2.5,2.5,1.0,0.0,0.0,18350,43000,1.3433242506811989,"12,13년"
179,운수 및 창고업,한익스프레스,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,17700,24650,0.3926553672316384,"12,13년"
