,업종명,평가연도,총자산규모,부채비율,자기자본비율,매출액증가율,현금흐름,PBR,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_C,ESG_D,E_A,E_A+,E_B,E_B+,E_C,E_D,S_A,S_A+,S_B,S_B+,S_C,S_D,G_A,G_A+,G_B,G_B+,G_C,G_D,배당기업구분
가온전선,전기전자,2011,26.957482016290882,-0.25847687205101477,-0.10645051938455262,1.0271837345428219,-0.5418152153180066,-0.8390363463320466,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,일반배당기업
경방,섬유의복,2011,27.932845955312732,-0.15907773495130317,-0.3155397936735157,-0.242621097610136,-0.7471879861837504,-0.8118807446861168,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,무배당기업
삼성제약,의약품,2014,24.773490507280087,0.009730338719107124,-0.5971510234591015,-1.9122849695457915,-4.364938104892169,1.2553394306102843,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
대한유화,화학,2012,27.876418740621453,-0.39010348929291566,0.2396769954856906,-0.2298923246642543,-0.32952157596305465,-0.5606914294612667,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
명문제약,의약품,2015,26.01866556632756,0.2795888749180025,-0.9230289014049632,0.4631674160787532,-0.7643464552149177,-0.17372410600676805,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
OCI,화학,2011,29.60579816994464,-0.2713678641078905,-0.0767824466813888,0.9038463139292785,2.4878178361280985,1.0007556651796934,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,일반배당기업
환인제약,의약품,2012,25.92412602954677,-0.7084364171106413,1.7103657423425196,-0.4691054714058243,1.3800736401750957,-0.3604188673225349,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
휠라홀딩스,유통업,2021,29.087041336667276,-0.3125444627027871,0.024465737940518997,0.5768485261816277,0.8581368992752832,3.4345764626961457,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,고배당기업
종근당,의약품,2017,27.24124036520153,-0.4085876803827334,0.2961876101583832,-0.3563022077130105,0.4494581868831999,0.9905723145624694,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
태영건설,건설업,2013,28.727688200246128,-0.040129035517404044,-0.5218035372288444,-0.5511841107465097,-0.10646317073359171,-0.6217915331646087,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
