기업명,업종명,평가연도,총자산규모,부채비율,자기자본비율,매출액증가율,현금흐름,PBR,ESG_-,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_B이하,ESG_C,ESG_D,E_-,E_A,E_A+,E_B,E_B+,E_B+이하,E_C,E_D,S_-,S_A,S_A+,S_B,S_B+,S_B이하,S_C,S_D,G_-,G_A,G_A+,G_B,G_B+,G_B이하,G_C,G_D,배당기업구분
한양증권,증권,2017,28.171447275628328,2.24553590075824,-1.755569769931291,-0.8209888952519404,-0.5443206883971252,-0.7635315136124141,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
경인전자,전기전자,2018,24.773633746442393,-0.7644032003813612,1.9761710624774895,-1.181850417540157,-0.49111956848638366,-0.35818312584115575,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
키움증권,증권,2015,29.36286045286872,1.6586799154101775,-1.6133590452149207,1.4574506607511608,-2.1172546550357314,-0.061586744545112794,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
금호전기,전기전자,2022,24.84739917496411,1.3533147126506087,-1.5157358414492277,0.1533372149262445,-2.052022329031968,3.9358733722559975,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,무배당기업
자화전자,전기전자,2011,26.190810997400487,-0.496725475177562,0.5183937985532444,3.544934327876747,0.4309413188894471,-0.3450010644502205,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
코스모신소재,화학,2022,26.835444934175925,-0.3621192204987348,0.12179953325511583,2.571109414257296,-0.3894797993129785,3.121881081365747,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,무배당기업
이스타코,서비스업,2018,25.109536851482968,-0.055901359875913104,-0.4808360130677206,-2.639330010337565,-1.1753944727776635,-0.20988493519313428,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,무배당기업
경인양행,화학,2014,26.469594019674716,-0.4857546106703771,0.48178509714110945,-0.058668929418082764,0.21423398656070003,-0.16045220497712717,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
에이엔피,전기전자,2013,26.322036494401672,0.6516909789087322,-1.1796867361788606,0.2641016544063777,-0.17461959793891366,-0.3812517332752924,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,무배당기업
현대비앤지스틸,철강금속,2017,27.094136442004785,-0.4730784304366869,0.4404829724710087,0.119757045491091,0.2575997043822119,-0.6646660531804,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,무배당기업
