,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_C,ESG_D,E_A,E_A+,E_B,E_B+,E_C,E_D,S_A,S_A+,S_B,S_B+,S_C,S_D,G_A,G_A+,G_B,G_B+,G_C,G_D,배당기업구분
롯데손해보험,보험,2012,28.874430573264153,0.11990383894663202,0.3707186973610332,0.002565921202732047,0.7057988587077523,0.07941770709216184,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,무배당기업
한솔케미칼,화학,2011,26.49727142913758,0.008695563911653008,0.6598820887142056,0.0028664963407551204,0.7002733453664299,0.08029839921255763,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
세방,운수창고업,2012,27.52920026049762,0.003718862432540476,0.8032706344750141,0.0021864021866963876,0.7002613696599957,0.07273480806092317,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
대웅제약,의약품,2014,27.266117996061936,0.004092856785928443,0.7883211678832118,0.0025276751003408563,0.6994937523143974,0.08511630316531109,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
한성기업,음식료품,2017,26.095341045788434,0.022139060313811715,0.5108085345311624,0.002352135297058213,0.6982039596875349,0.0728902243174636,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
더존비즈온,서비스업,2018,26.353406938267035,0.004138142114731161,0.7865665356541269,0.0025901927677110716,0.761287539609834,0.166709837849039,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,고배당기업
대교,서비스업,2012,27.425365185919365,0.002412614931041375,0.8639809096013478,0.0021694856414079767,0.70771337212931,0.077449101175983,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
고려산업,음식료품,2014,25.773333719184755,0.008197425294823106,0.6701993262212241,0.002126336192556377,0.7140680954441206,0.07397813811324665,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
진양홀딩스,서비스업,2014,27.0035334785511,0.0032542974215470717,0.8232032565974172,0.002404355936861569,0.7123485320596596,0.07765632285137025,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
조일알미늄,철강금속,2018,26.598347494610664,0.007077003797721367,0.6959573273441888,0.002488203161334564,0.6868546744044355,0.06978189918665492,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
삼성에스디에스,서비스업,2017,29.61584435939878,0.002127629672196682,0.8794216732172937,0.002671343151630841,0.7136166222401605,0.09599544112314148,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,고배당기업
DB금융투자,증권,2022,29.590559318775206,0.05835561163302019,0.41065412689500286,0.001955699735734143,0.7143232224693323,0.06807232036471014,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
