,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_C,ESG_D,E_A,E_A+,E_B,E_B+,E_C,E_D,S_A,S_A+,S_B,S_B+,S_C,S_D,G_A,G_A+,G_B,G_B+,G_C,G_D,배당기업구분
고려산업,음식료품,2014,25.773333719184755,-0.15148576678304843,-0.20784507923276685,-0.04436871290422395,0.3357446870539486,-0.2769228342192676,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
진양홀딩스,서비스업,2014,27.0035334785511,-0.3174637730074649,0.8131516599026551,-0.028128534920189057,0.29167373875942015,-0.16235407801189491,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
조일알미늄,철강금속,2018,26.598347494610664,-0.1891067490815854,-0.03596168324070259,-0.023230703464686468,-0.361712168793899,-0.40762803496289,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
삼성에스디에스,서비스업,2017,29.61584435939878,-0.35529448900522725,1.1882977094657166,-0.012532808443457135,0.3241738124889934,0.40887605857134374,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,고배당기업
DB금융투자,증권,2022,29.590559318775206,1.5327020547084607,-1.9397927587386343,-0.054336229550509915,0.34228337590848595,-0.460878301932514,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
제일기획,서비스업,2018,28.40670550446137,-0.051075758278939225,-0.5675356735703835,-0.027756185160414004,0.15577297376514426,0.8187417497920856,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,고배당기업
한농화성,화학,2021,26.103023507920657,-0.3038048658454177,0.6960648778917122,0.009507433106304506,-0.2951195212032185,0.06194250104197564,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
인디에프,섬유의복,2017,25.679540920929426,-0.12886074397911987,-0.3001094634573898,-0.03341303728007342,-0.20797760582207597,-0.09780829986689622,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
유니퀘스트,유통업,2014,26.220448459676952,-0.31806675739273765,0.8187718254391807,0.016095159625401555,-0.07070659156574964,-0.1526722112901451,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,고배당기업
현대홈쇼핑,유통업,2012,27.898265148017018,-0.3375195579958836,1.0018955525042952,-0.022256865631428643,0.7153786601122047,-0.05746718852627202,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
무림페이퍼,종이목재,2012,28.430722705521912,0.2300984822449697,-1.1562480135214044,-0.02503516768513479,0.22344832610507206,-0.43183270176726457,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
강남제비스코,화학,2021,27.53010731230945,-0.3308605130454806,0.936795301706211,0.07300738829255735,-0.2919491747539925,-0.36083234580776596,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,고배당기업
삼성출판사,서비스업,2017,25.941516832207597,-0.2739178137058134,0.46610643802222057,-0.020481043700193786,-0.05131453684560138,-0.04455803289727227,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
하이트진로,음식료품,2015,28.87242911897902,-0.00399054280286084,-0.6996095636787271,-0.029431759079401733,0.7863901670992102,-0.07521727751614665,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
