,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_C,ESG_D,E_A,E_A+,E_B,E_B+,E_C,E_D,S_A,S_A+,S_B,S_B+,S_C,S_D,G_A,G_A+,G_B,G_B+,G_C,G_D,배당기업구분
삼성에스디에스,서비스업,2017,7277760880000.0,27.25,78.59,13.68,0.0897761786682752,2.98,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,고배당기업
DB금융투자,증권,2022,7096049373000.0,747.4,11.8,-15.51,0.0925039034973566,0.285,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
제일기획,서비스업,2018,2172078164000.0,143.29,41.1,3.05,0.0644110642044585,4.25,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,고배당기업
한농화성,화학,2021,216969691000.0,46.89,68.08,29.07,-0.0035039166971699,1.905,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
인디에프,섬유의복,2017,142063634000.0,113.62,46.81,-0.9,0.009621698798508,1.41,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
유니퀘스트,유통업,2014,244003513000.0,41.45,70.7,33.67,0.0302979318598272,1.24,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,고배당기업
현대홈쇼핑,유통업,2012,1306359201000.0,34.03,74.61,6.89,0.1487008005048375,1.535,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
무림페이퍼,종이목재,2012,2224876903000.0,250.54,28.53,4.95,0.0746045589132131,0.375,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
강남제비스코,화학,2021,904010952000.0,36.57,73.22,73.41,-0.0030263881932505,0.595,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,고배당기업
삼성출판사,서비스업,2017,184611016000.0,58.29,63.17,8.13,0.0332188299467528,1.575,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
하이트진로,음식료품,2015,3460482406000.0,161.25,38.28,1.88,0.1593967983194756,1.48,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
동아지질,건설업,2015,259436782000.0,87.47,53.34,-2.94,0.0547798651556401,0.69,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
한농화성,화학,2012,128886580000.0,74.22,57.4,2.3,0.0488051817633359,0.69,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
인디에프,섬유의복,2012,209347262000.0,119.16,45.63,-12.57,0.0907769987734343,0.4649999999999999,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
토니모리,화학,2021,202095813000.0,112.08,47.15,0.0,-0.0062705423091999,1.235,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,무배당기업
신성이엔지,기계,2011,415221081000.0,173.86,36.51,-15.88,-0.1926342695248251,1.695,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,무배당기업
