회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(영업수익)(*),[공통]평균배당률(IFRS)
금호건설(주),002990,2013/12,1708573364,1483.56,6.31,-4.4,122313200,12.13,0.79,1433682096,0
금호석유화학(주),011780,2013/12,3234381778,177.63,36.02,-13.95,292044922,4.23,2.32,4193220007,25.08
금호전기(주),001210,2013/12,381396124,93.74,51.61,-18.99,-25826403,1.45,0.72,163017831,1.73
금호타이어(주),073240,2013/12,3324692335,168.59,37.23,-12.81,394788768,1.63,1.21,2914256623,0
기신정기(주),092440,2013/03,210412769,8.83,91.89,13.89,27608705,1.15,0.7,104686363,40
기아(주),000270,2013/12,26862906000,55.86,64.16,1.16,3790262000,1.82,1.27,28332572000,13.25
깨끗한나라(주),004540,2013/12,446516644,150.77,39.88,2.22,24240098,1.15,0.79,647438803,0
남광토건(주),001260,2013/12,459326561,1472.73,6.36,-27.7,12828525,24.16,0.35,284497543,0
남양유업(주),003920,2013/12,969683243,17.86,84.84,-10.07,-11707049,1.28,0.86,1205330531,19.28
남해화학(주),025860,2013/12,504051964,42.27,70.29,-5.26,74298023,1.24,0.84,1391550749,3.71
네이버(주),035420,2013/12,2260146995,39.98,71.44,-19.05,534085313,20.15,5.88,1223505708,132.7
넥센타이어(주),002350,2013/12,1905328798,144.88,40.84,1.4,168832387,2.39,1.56,1380223434,12.38
다스코(주),058730,2013/12,107762576,52.35,65.64,6.33,8582601,0.69,0.52,108245160,18.48
다올투자증권(주),030210,2013/03,1939112750,304.19,24.74,15.05,-86998791,0.61,0.28,513676422,2.55
대동전자(주),008110,2013/03,105474070,11.46,89.72,-11.88,1165536,0.36,0.23,11770317,9.34
대림비앤코(주),005750,2013/12,245815457,71.75,58.22,15.27,6835339,0.29,0.17,115385690,6.7
대림통상(주),006570,2013/12,249779907,77.7,56.28,-1.13,6734047,0.5,0.38,140058989,13.9
대상(주),001680,2013/12,1356161854,105.64,48.63,1.14,145770049,2.41,1.49,1570275468,15.04
대상홀딩스(주),084690,2013/12,388742576,5.74,94.57,19.9,7056261,1.02,0.66,9517752,12.02
대성산업(주),128820,2013/12,2230762599,398.48,20.06,-8.74,-218870621,0.81,0.18,1184323459,0
대성에너지(주),117580,2013/12,652990816,138.03,42.01,4.05,38403316,0.65,0.52,1019467172,25
