종목명,ESG 통합등급,2013_E,2013_S,2013_G,평가연도
쌍용양회공업,B이하,C,B이하,B+,2013
쌍용자동차,B+,B+,B+,B+,2013
써니전자,B이하,C,B이하,B이하,2013
씨아이테크,B이하,C,B이하,B이하,2013
아남전자,B이하,B,B이하,B이하,2013
아모레퍼시픽,B+,B+,A,B+,2013
아모레퍼시픽그룹,B이하,B,B+,B이하,2013
아비스타,B이하,C,B이하,B이하,2013
아세아,B+,B,B+,B+,2013
아세아제지,B이하,C,B이하,B이하,2013
아시아나항공,B+,B+,B+,A,2013
아이마켓코리아,B이하,B,B이하,B이하,2013
아이에스동서,B이하,C,B이하,B이하,2013
아이에이치큐,B이하,C,B이하,B이하,2013
아주캐피탈,B이하,B,B이하,B이하,2013
아티스,B이하,C,B이하,B이하,2013
알루코,B이하,D,B이하,B이하,2013
알보젠코리아,B이하,B,B이하,B이하,2013
에넥스,B이하,C,B이하,B이하,2013
에스엘,B이하,B,B이하,B이하,2013
에스원,B이하,B,B+,B이하,2013
에스제이엠,B이하,B+,B이하,B이하,2013
에스제이엠홀딩스,B이하,B,B이하,B이하,2013
에쓰씨엔지니어링,B이하,C,B이하,B이하,2013
에이블씨엔씨,B이하,B,B이하,B이하,2013
에이엔피,B이하,C,B이하,B이하,2013
에이프로젠KIC,B이하,C,B이하,B이하,2013
에이프로젠제약,B이하,C,B이하,B이하,2013
엔씨소프트,B이하,B+,B이하,B이하,2013
엔케이,B이하,C,B이하,B이하,2013
엔케이물산,B이하,C,B이하,B이하,2013
엔피씨,B이하,B,B이하,B이하,2013
영보화학,B이하,C,B이하,B이하,2013
영원무역,B이하,C,B이하,B이하,2013
영원무역홀딩스,B이하,C,B이하,B이하,2013
영진약품,B이하,B,B이하,B이하,2013
영풍,B이하,C,B이하,B+,2013
영풍제지,B이하,C,B이하,B이하,2013
영화금속,B이하,C,B이하,B이하,2013
영흥철강,B이하,B,B이하,B이하,2013
예스코,B이하,B+,B+,B이하,2013
오뚜기,B이하,C,B이하,B+,2013
오리엔트바이오,B이하,C,B이하,B이하,2013
오리온홀딩스,B이하,B,B이하,B이하,2013
와이비로드,B이하,C,B이하,B이하,2013
우리금융지주,B+,A,B+,B이하,2013
우리들제약,B이하,C,B이하,B이하,2013
우리들휴브레인,B이하,D,B이하,B이하,2013
우리종금,B이하,B+,B이하,B이하,2013
우성사료,B이하,B,B이하,B이하,2013
우신시스템,B이하,B,B이하,B이하,2013
우진,B이하,B+,B이하,B이하,2013
우진플라임,B이하,C,B이하,B이하,2013
웅진씽크빅,B이하,C,B+,B+,2013
웅진에너지,B이하,B,B이하,B+,2013
원림,B이하,C,B이하,B이하,2013
윌비스,B이하,B,B이하,B이하,2013
유나이티드,B이하,B,B이하,B이하,2013
유니드,B이하,B,B이하,B이하,2013
유니온,B이하,B,B이하,B이하,2013
유니온머티리얼,B이하,C,B이하,B이하,2013
유니온스틸,B이하,B,B이하,B이하,2013
유니켐,B이하,C,B이하,B이하,2013
유니퀘스트,B이하,B,B이하,B이하,2013
유성기업,B이하,B,B이하,B이하,2013
유수홀딩스,B이하,B,B이하,B+,2013
유안타증권,B이하,B+,B이하,B이하,2013
유양디앤유,B이하,B,B이하,B이하,2013
유엔젤,B이하,B,B이하,B이하,2013
유유제약,B이하,B,B이하,B이하,2013
유진증권,B이하,B+,B이하,B이하,2013
유한양행,B이하,B,B이하,B+,2013
유화증권,B이하,B,B이하,B이하,2013
율촌화학,B이하,B,B이하,B이하,2013
이건산업,B이하,C,B이하,B이하,2013
이구산업,B이하,B,B이하,B이하,2013
이마트,B+,B+,B+,B+,2013
이수페타시스,B이하,C,B이하,B이하,2013
이수화학,B이하,C,B+,B+,2013
이스타코,B이하,C,B이하,B이하,2013
이아이디,B이하,C,B이하,B이하,2013
이연제약,B이하,B,B이하,B이하,2013
이월드,B이하,C,B이하,B이하,2013
이화산업,B이하,C,B이하,B이하,2013
인디에프,B이하,C,B이하,B이하,2013
인스코비,B이하,C,B이하,B이하,2013
인지컨트롤스,B이하,C,B이하,B이하,2013
인천도시가스,B이하,C,B이하,B이하,2013
인터지스,B이하,C,B이하,B이하,2013
인팩,B이하,C,B이하,B이하,2013
일동홀딩스,B이하,B,B이하,B이하,2013
일성건설,B이하,C,B이하,B이하,2013
일신방직,B이하,B+,B이하,B이하,2013
일신석재,B이하,C,B이하,B이하,2013
일양약품,B이하,B,B이하,B이하,2013
일정실업,B이하,B,B이하,B이하,2013
일진다이아,B이하,B,B이하,B이하,2013
일진디스플,B이하,C,B이하,B이하,2013
일진머티리얼즈,B이하,C,B이하,B이하,2013
일진전기,B이하,C,B이하,B이하,2013
일진홀딩스,B이하,C,B이하,B이하,2013
자화전자,B이하,C,B이하,B이하,2013
전방,B이하,B,B이하,B이하,2013
전북은행,B+,A,B이하,B이하,2013
제이에스전선,B이하,B,B이하,B이하,2013
제이준코스메틱,B이하,C,B이하,B이하,2013
제일기획,B이하,B,B이하,B이하,2013
제일모직,A,A,B+,A,2013
제일연마,B이하,B,B이하,B이하,2013
제일파마홀딩스,B이하,B,B이하,B이하,2013
제주은행,B+,A,B이하,B이하,2013
조광페인트,B이하,C,B이하,B이하,2013
조광피혁,B이하,B,B이하,B이하,2013
조비,B이하,D,B이하,B이하,2013
조선내화,B이하,B,B+,B이하,2013
조선선재,B이하,C,B이하,B이하,2013
조일알미늄,B이하,B,B이하,B+,2013
조흥,B이하,C,B이하,B이하,2013
종근당바이오,B이하,B,B이하,B이하,2013
종근당홀딩스,B이하,B,B이하,B이하,2013
주연테크,B이하,C,B이하,B이하,2013
지역난방공사,B+,B+,B+,B+,2013
지코,B이하,B,B이하,B이하,2013
지투알,B이하,B,B이하,B이하,2013
진도,B이하,C,B이하,B이하,2013
진양산업,B이하,C,B이하,B이하,2013
진양폴리우레탄,B이하,C,B이하,B이하,2013
진양홀딩스,B이하,B,B이하,B이하,2013
진양화학,B이하,B,B이하,B이하,2013
진원생명과학,B이하,C,B이하,B이하,2013
진흥기업,B+,B,B+,B+,2013
참엔지니어링,B이하,B,B이하,B이하,2013
천일고속,B이하,C,B이하,B이하,2013
청호컴넷,B이하,C,B이하,B이하,2013
체시스,B이하,C,B이하,B이하,2013
카프로,B이하,B,B이하,B+,2013
케이비증권,B이하,B+,B이하,B이하,2013
케이씨,B이하,B,B이하,B이하,2013
케이씨씨,B+,B+,B이하,B+,2013
케이씨티시,B이하,C,B이하,B이하,2013
케이티,A,A+,A,A,2013
케이티스,B이하,B+,B이하,B이하,2013
케이티스카이라이프,B이하,B,B+,B이하,2013
케이티앤지,A,A+,A,A,2013
코리아써키트,B이하,C,B이하,B이하,2013
코리안리,B+,A,B이하,B이하,2013
코스맥스비티아이,B이하,B,B이하,B이하,2013
코스모신소재,B이하,C,B이하,B이하,2013
코스모화학,B이하,B,B이하,B+,2013
코아스,B이하,B,B이하,B이하,2013
코오롱,B이하,B,B이하,B이하,2013
코오롱글로벌,B이하,B+,B이하,B이하,2013
코오롱인더,B+,B+,B이하,B+,2013
코오롱플라스틱,B+,B+,B+,B+,2013
코웨이,B+,B,A,A,2013
콤텍시스템,B이하,B,B이하,B이하,2013
크라운해태홀딩스,B이하,B,B이하,B이하,2013
